Year,State,Yes,No,lat,long,code
2010,Guam,77.8,22.2,,,GU
2010,Puerto Rico,92.1,7.9,,,PR
2010,Virgin Islands,69.4,30.6,,,VI
2009,Guam,79.7,20.3,,,GU
2009,Puerto Rico,91.6,8.4,,,PR
2009,Virgin Islands,71.4,28.6,,,VI
2008,Guam,74.7,25.3,,,GU
2008,Puerto Rico,91.7,8.3,,,PR
2008,Virgin Islands,72.4,27.6,,,VI
2007,Guam,81.9,18.1,,,GU
2007,Puerto Rico,91.1,8.9,,,PR
2007,Virgin Islands,71.3,28.7,,,VI
2006,Puerto Rico,92.4,7.6,,,PR
2006,Virgin Islands,70.2,29.8,,,VI
2005,Puerto Rico,93.0,7.0,,,PR
2005,Virgin Islands,69.9,30.1,,,VI
2004,Puerto Rico,92.1,7.9,,,PR
2004,Virgin Islands,70.2,29.8,,,VI
2003,Guam,79.1,20.9,,,GU
2003,Puerto Rico,91.2,8.8,,,PR
2003,Virgin Islands,69.6,30.4,,,VI
2002,Guam,78.2,21.8,,,GU
2002,Puerto Rico,93.0,7.0,,,PR
2002,Virgin Islands,69.0,31.0,,,VI
2001,Guam,81.4,18.6,,,GU
2001,Puerto Rico,91.5,8.5,,,PR
2001,Virgin Islands,71.7,28.3,,,VI
2000,Puerto Rico,91.0,9.0,,,PR
1999,Puerto Rico,88.3,11.7,,,PR
1998,Puerto Rico,89.0,11.0,,,PR
1997,Puerto Rico,89.7,10.3,,,PR
1996,Puerto Rico,86.4,13.6,,,PR
2007,Virginia,88.2,11.8,37.54268067400045,-78.45789046299967,VA
1999,Arizona,85.8,14.2,34.865970280000454,-111.76381127699972,AZ
2001,Idaho,85.2,14.8,43.68263000500048,-114.3637300419997,ID
2009,Missouri,86.4,13.6,38.63579077600048,-92.56630005299968,MO
2005,Oklahoma,79.3,20.7,35.47203135600046,-97.52107021399968,OK
1996,Montana,84.4,15.6,47.06652897200047,-109.42442064499971,MT
1998,Louisiana,77.8,22.2,31.31266064400046,-92.44568007099969,LA
1999,Texas,77.4,22.6,31.827240407000488,-99.42677020599967,TX
2001,Kansas,89.9,10.1,38.34774030000045,-98.20078122699964,KS
2003,Virginia,87.9,12.1,37.54268067400045,-78.45789046299967,VA
2000,District of Columbia,88.5,11.5,38.89037138500049,-77.03196112699965,DC
1996,Vermont,87.0,13.0,43.62538123900049,-72.51764079099962,VT
2001,New Mexico,77.5,22.5,34.52088095200048,-106.24058098499968,NM
2000,Alabama,83.9,16.1,32.84057112200048,-86.63186076199969,AL
2000,New Mexico,76.5,23.5,34.52088095200048,-106.24058098499968,NM
2003,California,83.9,16.1,37.63864012300047,-120.99999953799971,CA
1997,Wyoming,81.0,19.0,43.23554134300048,-108.10983035299968,WY
1996,South Dakota,89.9,10.1,44.35313005300048,-100.3735306369997,SD
1998,Alabama,83.6,16.4,32.84057112200048,-86.63186076199969,AL
2010,New Hampshire,88.7,11.3,43.65595011300047,-71.50036091999965,NH
1996,Texas,75.4,24.6,31.827240407000488,-99.42677020599967,TX
1997,Nevada,85.9,14.1,39.493240390000494,-117.07184056399969,NV
2010,Indiana,85.0,15.0,39.766910452000445,-86.14996019399968,IN
2005,South Dakota,88.5,11.5,44.35313005300048,-100.3735306369997,SD
2008,Missouri,85.5,14.5,38.63579077600048,-92.56630005299968,MO
1999,Maryland,90.2,9.8,39.29058096400047,-76.60926011099963,MD
2010,Florida,83.0,17.0,28.93204037700048,-81.92896053899966,FL
2003,Maine,88.2,11.8,45.254228894000505,-68.98503133599962,ME
2008,North Carolina,82.2,17.8,35.466220975000454,-79.15925046299964,NC
2010,Arkansas,78.7,21.3,34.74865012400045,-92.27449074299966,AR
1998,Mississippi,81.3,18.7,32.745510099000455,-89.53803082499968,MS
2000,Minnesota,92.9,7.1,46.35564873600049,-94.79420050299969,MN
2009,Mississippi,80.0,20.0,32.745510099000455,-89.53803082499968,MS
2000,Kentucky,85.9,14.1,37.64597027100047,-84.77497104799966,KY
2000,Connecticut,90.8,9.2,41.56266102000046,-72.64984095199964,CT
2005,Nevada,78.3,21.7,39.493240390000494,-117.07184056399969,NV
2003,Missouri,87.2,12.8,38.63579077600048,-92.56630005299968,MO
2000,Idaho,82.9,17.1,43.68263000500048,-114.3637300419997,ID
2005,Tennessee,86.0,14.0,35.68094058000048,-85.77449091399967,TN
2009,South Dakota,89.0,11.0,44.35313005300048,-100.3735306369997,SD
1995,New Mexico,81.4,18.6,34.52088095200048,-106.24058098499968,NM
2003,Minnesota,93.1,6.9,46.35564873600049,-94.79420050299969,MN
2007,Wyoming,84.1,15.9,43.23554134300048,-108.10983035299968,WY
2008,North Dakota,88.4,11.6,47.47531977900047,-100.11842104899966,ND
2009,Tennessee,84.3,15.7,35.68094058000048,-85.77449091399967,TN
2003,West Virginia,80.9,19.1,38.66551020200046,-80.71264013499967,WV
2002,Texas,72.2,27.8,31.827240407000488,-99.42677020599967,TX
1996,District of Columbia,86.6,13.4,38.89037138500049,-77.03196112699965,DC
2010,Nebraska,86.3,13.7,41.6410409880005,-99.36572062299967,NE
2009,New Mexico,80.6,19.4,34.52088095200048,-106.24058098499968,NM
2003,Indiana,86.3,13.7,39.766910452000445,-86.14996019399968,IN
1997,Missouri,87.8,12.2,38.63579077600048,-92.56630005299968,MO
2007,Massachusetts,93.8,6.2,42.27687047000046,-72.08269067499964,MA
2000,Tennessee,88.1,11.9,35.68094058000048,-85.77449091399967,TN
1998,Nebraska,92.0,8.0,41.6410409880005,-99.36572062299967,NE
1997,New York,86.0,14.0,42.82700103200045,-75.54397042699964,NY
1998,West Virginia,83.0,17.0,38.66551020200046,-80.71264013499967,WV
1999,Kansas,89.6,10.4,38.34774030000045,-98.20078122699964,KS
2007,Tennessee,85.3,14.7,35.68094058000048,-85.77449091399967,TN
2008,District of Columbia,90.9,9.1,38.89037138500049,-77.03196112699965,DC
2005,Montana,78.5,21.5,47.06652897200047,-109.42442064499971,MT
2000,Utah,88.9,11.1,39.36070017100048,-111.58713063499972,UT
1999,Washington,88.1,11.9,47.52227862900048,-120.47001078999972,WA
1996,Tennessee,88.0,12.0,35.68094058000048,-85.77449091399967,TN
2006,Ohio,87.6,12.4,40.06021014100048,-82.40426005599966,OH
1998,Rhode Island,90.3,9.7,41.70828019300046,-71.52247031399963,RI
